需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
往来对账系统原HTTP接口换HTTPS接口对接,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/10/09,2025/11/28,P0,1130,刘晓红,刘艳,赵化烙,赵化烙,验证,84%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,0,,,2.0,250%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/08/01,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,质量运营数字化子链群,,,2025/08/01,,,,,,,,,,,,,,,,暂无,,2025/08/01,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,,,2025/08/01,
直销员场景通知小微,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/07/23,2025/09/15,P0,930,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,2.0,250%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/11,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,质量运营数字化子链群,,,2025/07/11,,,,,,,,,,,,,,,,暂无,,2025/07/11,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,刘艳,,,2025/07/11,
咨询费/修理费-AI智能体,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/08/04,2025/08/30,P0,830,刘晓红,刘艳,赵化烙,赵化烙,发布,100%,,C类-包资源模式,Level3 - 资产生效模式,Claude+Cursor,财资,5,,,,,0,,,2.0,250%,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/08/04,交付与质量中心,,是,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,刘艳,质量运营数字化子链群,,,2025/08/04,,,,,,,,,,,,,,,,暂无,,2025/08/04,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,刘艳,,,2025/08/04,
AI稽核指标前后端优化,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,稽核中心能力迭代,2025,2025/11/03,2025/11/10,P0,1130,任若男,侍晓宇,"孟家男,赵化烙",赵化烙,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,财资,5,2,250.00%,,,0,,,2.0,250%,,,S03217,稽核中心,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/11/03,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,侍晓宇,质量运营数字化子链群,,,2025/11/03,,,,,,,,,,,,,,,,暂无,,2025/11/03,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/04 08:57,6.0,,侍晓宇,,,2025/11/03,
财务数字化平台涉及HBC租户映射规则改造,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/11/03,2025/11/07,P0,1130,刘晓红,王鑫,崔斌,崔斌,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Cursor,财资,5,2,250.00%,,,,,,1.0,500%,,,S03085,预算中台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/11/03,交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,王鑫,质量运营数字化子链群,,,2025/11/03,,,,,,,,,,,,,,,,,,2025/11/03,交付与质量中心,,,开发完成,false,,,3.0,,2026/01/04 08:57,3.0,,王鑫,,,2025/11/03,
多币种支持：——预算体属性,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/10/09,2025/10/31,P0,1030,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Cursor,财资,5,,,,,,,,3.0,167%,,,S03085,预算中台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/10/09,交付与质量中心,,,开发完成,false,,,5.5,,2026/01/04 08:57,5.5,,薛晓剑,开发团队A,已确认,,2025/10/09,,,,,,,,,,,,,,,,暂无,,2025/10/09,交付与质量中心,,,开发完成,false,,,5.5,,2026/01/04 08:57,5.5,,薛晓剑,,,2025/10/09,
数字化平台上线涉及HBC单据编码规则调整,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/06/16,2025/10/30,P0,1130,刘晓红,王鑫,薛晓剑,,挂起/取消,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,0,,,0.0,,,,S03085,预算中台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
新增0元预算时校验并添加用户操作缓存、取消全局事务,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/09/17,2025/09/26,P0,930,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Cursor,财资,5,,,,,,,,3.0,167%,,,S03085,预算中台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/24,交付与质量中心,,是,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,薛晓剑,开发团队A,已确认,,2025/09/24,,,,,,,,,,,,,,,,暂无,,2025/09/24,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,薛晓剑,,,2025/09/24,
智家全面预算调整多方位校验单号的唯一性,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/09/05,2025/09/30,P0,930,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Cursor,财资,5,,,,,,,,4.0,125%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,通用开发类,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/19,交付与质量中心,,是,开发完成,false,,,9.0,,2026/01/04 08:57,9.0,,薛晓剑,开发团队A,已确认,,2025/09/19,,,,,,,,,,,,,,,,暂无,,2025/09/19,交付与质量中心,,,开发完成,false,,,9.0,,2026/01/04 08:57,9.0,,薛晓剑,,,2025/09/19,
智家市场费用组织合并,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2025,2025/06/09,2025/06/24,P0,630,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,,,3.0,167%,,,S03085,预算中台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,赵晨,,,2025/07/08,
创客报销知识考试推送逻辑优化升级,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,员工报销能力迭代,2025,2025/07/29,2025/08/30,P0,830,刘晓红,付文芯,,,开发,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,,,,,5,6000,,0.0,,,,,,,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/08/18,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,付文芯,质量运营数字化子链群,,,2025/08/18,,,,,,,,,,,,,,,,,,2025/08/18,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,付文芯,,,2025/08/18,
海永顺共享员工费用切换EES,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,员工报销能力迭代,2025,2024/07/10,2025/11/30,P0,1130,刘晓红,付文芯,,,需求设计,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,2,250.00%,,,,,,0.0,,,,S02034,我要报销,北京元年科技股份有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/10/13,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,付文芯,质量运营数字化子链群,,,2025/10/13,,,,,,,,,,,,,,,,,,2025/10/13,交付与质量中心,,,需求设计,false,,,0.0,,2026/01/04 08:57,0.0,,付文芯,,,2025/10/13,
签约单位MDM接口切换至数据湖,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,员工报销能力迭代,2025,2025/07/01,2025/08/30,P1,830,刘晓红,付文芯,,,开发设计,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,,,,,5,6000,,0.0,,,,S02034,我要报销,北京元年科技股份有限公司,,,,,,,,,:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
经办人合并页面，筛选条件增加付款方式的选择,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,云报账能力迭代,2025,2025/10/28,2025/12/15,P1,1230,刘晓红,张巍,李乃娇,李乃娇,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,,,,2.5,200%,,,S03091,云报账,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/27,交付与质量中心,,,开发完成,false,,,10.0,,2026/01/04 08:57,10.0,,张巍,产业赋能子链群,,,2025/10/27,,,,,,,,,,,,,,,,,,2025/10/27,交付与质量中心,,,开发完成,false,,,10.0,,2026/01/04 08:57,10.0,,张巍,,,2025/10/27,
罗伦士除了应付和请款单，放开发票后到,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,云报账能力迭代,2025,2025/11/03,2025/11/30,P0,1130,刘晓红,张巍,孟家男,孟家男,结项,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,Cursor,财资,5,2,250.00%,,,,,,2.0,250%,,,S03091,云报账,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/10/30,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,张巍,产业赋能子链群,,,2025/10/30,,,,,,,,,,,,,,,,暂无,,2025/10/30,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/04 08:57,8.0,,张巍,,,2025/10/30,
产值按地区进行核算并接入AI问数,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,政府补助、产值外报等报表分析效率提升专项,2025,2025/04/15,2025/05/30,P2,530,陆立垚,陆立垚,,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,,,,,5,6110,2025/06/04,0.0,,,,,,青岛三合信息技术有限公司,政府指定&共创,全供应商承建,通用开发类,1,1,3,0,1,1:1:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
"单据超时未审核提醒逻辑调整（方案设计交互中）：
按照：国内单据已提交超过7天未审批，每天提醒报账人→当天提的单据，未审核的，从第二天开始给审核人发邮件，每天发一次",财资数字化,数字化赋能领域,财资数字化,海外内生公司-GEMS1.0的效率需求提升,GEMS1.0的效率需求提升,2025,2025/04/21,2025/05/30,P2,530,庄兴雷,"王丹,薛军喜",,,挂起/取消,,,D类-供应商池,Level1 - 代码补全辅助开发,,财资,5,,,,,5,6000,,0.0,,,,S00319,海尔全球费用管理系统,青岛三合信息技术有限公司,核心项目重大迭代,全自有承建,通用开发类,1,1,0,0,,:2:0,,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,是,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,,,2025/07/08,交付与质量中心,,,挂起/取消,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/08,
莱士一体化共享项目-稽核接入,财资数字化,数字化赋能领域,财资数字化,莱士一体化共享项目,莱士一体化共享项目,2025,2025/04/01,2025/12/31,P0,1230,陆立垚,刘艳,赵化烙,,规划,,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,大规模复用现有资产,,0,,,0.0,,,,S03217,稽核中心,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/23,交付与质量中心,,是,规划,false,,,0.0,,2026/01/04 08:57,0.0,,陆立垚,会计数字化子链群,,,2025/07/23,,,,,,,,,,,,,,,,,,2025/07/23,交付与质量中心,,,规划,false,,,0.0,,2026/01/04 08:57,0.0,,陆立垚,,,2025/07/23,
银商pos数据接收：接收银商pos数据同步推送地产，调用新资金抛帐,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,结算中台：产业赋能,2025,2025/05/16,2025/07/30,P0,730,王宗武,杨中锐,逯瑾,逯瑾,发布,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,,,,,,0,,3.0,167%,1178,开发完成联调中,S01959,数字化转型-结算中心,中电金信软件有限公司,,,,,,0,0,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,是,开发完成,false,系统集成类,接口开发,5.0,,2026/01/04 08:57,5.0,,赵晨,开发团队A,,,2025/07/08,,,,,,,,,,,,,,,,暂无,,2025/07/08,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,赵晨,,,2025/07/08,
" 海外公司的提款有2步审核，融资业务初审和领域资金。把领域资金改成板块资金，后加签给领域资金",财资数字化,数字化赋能领域,财资数字化,资金能力迭代,融资管理迭代升级,2025,2025/09/08,2025/09/30,P0,930,王宗武,周丹华,孟家男,孟家男,验证,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,,,,3.0,167%,,,S03347,融理通,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/09,交付与质量中心,,是,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,孟家男,开发团队A,已确认,,2025/09/09,,,,,,,,,,,,,,,,暂无,,2025/09/09,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,孟家男,,,2025/09/09,
还本付息优化,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,融资管理迭代升级,2025,2025/07/21,2025/07/25,P0,730,王宗武,周丹华,孟家男,孟家男,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,0,,,2.0,250%,,,S03347,融理通,中电金信软件有限公司,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/07/28,交付与质量中心,,是,开发完成,false,业务流程优化类,规则开发,2.0,,2026/01/04 08:57,2.0,,孟家男,开发团队A,已确认,,2025/07/28,,,,,,,,,,,,,,,,暂无,,2025/07/28,交付与质量中心,,,开发完成,false,,,2.0,,2026/01/04 08:57,2.0,,孟家男,,,2025/07/28,
库融贷执行分析报表及合同信息表优化,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,融资管理迭代升级,2025,2025/10/20,2025/10/30,P0,1030,王宗武,周丹华,孟家男,孟家男,开发,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,3,166.67%,,,0,,,2.5,200%,,,S03347,融理通,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/10/10,交付与质量中心,,是,开发中,true,,,6.0,,2026/01/04 08:57,6.0,,孟家男,开发团队A,已确认,,2025/10/10,,,,,,,,,,,,,,,,暂无,,2025/10/10,交付与质量中心,,,开发中,true,,,6.0,,2026/01/04 08:57,6.0,,孟家男,,,2025/10/10,
融理通海外支持,财资数字化,数字化赋能领域,财资数字化,资金能力迭代,融资管理迭代升级,2025,2025/09/05,2025/09/30,P0,930,王宗武,周丹华,孟家男,孟家男,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Cursor,财资,5,2,250.00%,,,,,,2.0,250%,,,S03347,融理通,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,是,开发完成,false,,,4.0,,2026/01/04 08:57,4.0,,孟家男,开发团队A,已确认,,2025/09/05,,,,,,,,,,,,,,,,暂无,,2025/09/05,交付与质量中心,,,开发完成,false,,,4.0,,2026/01/04 08:57,4.0,,孟家男,,,2025/09/05,
AI生成月度财务分析报告，前端增加首页，输入框下增加历史记录和问题模板,财资数字化,数字化领域赋能,财资数字化,AI财务分析,AI财务分析,2025,2025/10/23,2025/10/30,P1,1030,张林若,张林若,谢凯,谢凯,结项,100%,,,Level2 - 会话模式辅助开发,,财资,5,2,250.00%,,,,,,2.0,250%,,,S04152,集团合规平台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/23,非交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,张林若,会计数字化子链群,,,2025/10/23,,,,,,,,,,,,,,,,,,2025/10/23,非交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,张林若,,,2025/10/23,
"②离职邮件给直线或者关键审核用户发通知审核的时候，现在放上的链接是系统首页，这个要换成对应要审核操作的页面
离职系统-工作量评估",人力数字化,数字化赋能领域,薪委会数字化,共享数字化专项,159-离职体验优化,2025,2025/07/01,2025/07/31,P1,1130,王世慧,王世慧,尹相波,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,人力,5,5,100.00%,,,5,5000,,0.0,,,,,,,,全供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/09,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,薪酬时间,,,2025/07/09,,,,,,,,,,,,,,,,,,2025/07/09,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,,,2025/07/09,
组织发文系统数据推送至数据中心,人力数字化,数字化领域赋能,薪委会数字化,发展数字化专项,719-组织发文系统数据推送至数据中心,2025,2025/09/28,2025/09/30,P1,930,宋佳峰,李运岭,刘国帅,刘国帅,结项,100%,,B类-面向特性交付,Level3 - 资产生效模式,,人力,5,3,166.67%,,,,,,3.0,167%,,,S03427,小微自主用人平台,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2025/09/26,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,郭广勇,薪酬时间,,,2025/09/26,,,,,,,,,,,,,,,,暂无,,2025/09/26,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/04 08:57,5.0,,郭广勇,,,2025/09/26,
组织发文-数据流转的日志记录内容不准确，进行优化调整，减少运维工作量,人力数字化,数字化领域赋能,薪委会数字化,发展数字化专项,组织发文,2025,2025/08/01,2025/08/30,P1,830,李运岭,李运岭,"刘国帅,王旭杰",刘国帅,结项,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,5,4,125.00%,,,0,0,,2.0,250%,,,S03075,创客发展平台,,,全自有承建,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2025/08/12,交付与质量中心,,,开发完成,false,,,4.0,,2026/02/09 10:39,4.0,,李运岭,培训发展,,,2025/08/12,,,,,,,,,,,,,,,,暂无,,2025/08/12,交付与质量中心,,,开发完成,false,,,4.0,,2026/02/09 10:39,4.0,,李运岭,,,2025/08/12,
企业年金和福利积分开户及福利积分消费需要作为一个单独的场景放在人力云中，需要与年金系统以及福利积分开户和消费系统分别对接，确保只有有权限的员工才能看到年金福利积分-工时评估,人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,099-企业年金及福利积分接口对接,2025,2025/07/01,2025/08/15,P0,730,王世慧,王世慧,尹相波,,发布,,,D类-供应商池,Level1 - 代码补全辅助开发,,人力,5,5,100.00%,,,5,5000,,0.0,,,,S01360,iHR云,,,全供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/07,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,薪酬时间,,,2025/07/07,,,,,,,,,,,,,,,,,,2025/07/07,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,,,2025/07/07,
"为保障个人信息修改的数据准确性，调整个人信息修改接口：
①人力云流程调用ehr接口修改学历，取消ehr审批流程；②对接家庭成员接口，增加判断不可填写员工本人信息；③家庭成员修改后，历史修改取消重复推送SAP；④信息修改日志报表，新增修改前的信息记录查询。",人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,102-EHR信息修改接口优化调整,2025,,2025/07/15,P0,730,路超,路超,尹相波,,结项,,,D类-供应商池,Level1 - 代码补全辅助开发,,人力,5,,,,,11.5,11500,,0.0,,,,,,,,全供应商承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/07/07,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,薪酬时间,,,2025/07/07,,,,,,,,,,,,,,,,,,2025/07/07,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,郭广勇,,,2025/07/07,
"1.报表用户主管权限升级：涉及订单进程查询、异常状态、合同拖期、非三位一体、工人订单监控、竞业限制报表  （in超1000）
2.五险一金预实差：异常原因“保险费个人预扣”、“单位薪酬/五险一金未共享”不推送邮件
3.异常状态显差新增明细：涉及合同拖期、三位一体、跑冒滴漏显差、快进快出等
4.用工文本报表升级
iHR云平台业务需求方案(报表优化） 20250915 
报表优化2.0-工时评估",人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,1015-报表用户主管权限升级等,2025,2025/10/07,2026/01/30,P0,1130,梁祯,梁祯,尹相波,,结项,,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,5,3,166.67%,,,12.5,12500,,0.0,,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/15,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,19270,梁祯,共享关爱,,,2025/10/15,,,,,,,,,,,,,,,,,,2025/10/15,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/10/15,
个人信息修改模块迭代(最高学历/学位修改,人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,个人信息修改模块迭代(最高学历/学位修改,2025,2025/05/10,2025/05/30,P0,530,王世慧,王世慧,,,结项,,,B类-面向特性交付,Level1 - 代码补全辅助开发,Cursor,人力,5,5,100.00%,,,5,5000,,0.0,,,,S03322,e-HR门户,青岛三合信息技术有限公司,核心项目持续迭代,全自有承建,通用开发类,1.7,3,2,0,10,10:1:0,,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,人力2025需求管理✅2025需求池管理,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,开发团队A,,,2025/07/04,,,,,,,,,,,,,,,,,,2025/07/04,交付与质量中心,,,开发完成,false,,,0.0,,2026/01/04 08:57,0.0,,赵晨,,,2025/07/04,
"1.新增：传SAP的时候新增“本公司时间”，同“合同开始时间”——郭广勇统一做
①改签：涉及系统：集团招聘/新组织系统
②批量改签：人力云
2.同法人公司人员发生人事范围变更：需同步更新合同的人事范围
涉及系统：集团招聘/新组织系统
3.小微转外包的合同要素传输SAP，涉及系统：集团招聘
4.合同签署完毕已经传SAP不能修改合同信息，调出单修改解除合同时间也不用自动计算调入单的合同期限及时间",人力数字化,数字化领域赋能,薪委会数字化,共享数字化专项,合同改签,2025,2026/01/01,2026/02/28,P1,1230,梁祯,梁祯,尹相波,,开发,,,B类-面向特性交付,,,人力,5,3,166.67%,,,5,5000,,0.0,,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2025/10/15,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,梁祯,共享关爱,,,2025/10/15,,,,,,,,,,,,,,,,,,2025/10/15,交付与质量中心,,,开发中,true,,,0.0,,2026/01/04 08:57,0.0,,梁祯,,,2025/10/15,
